Date,Adj Close,Close,High,Low,Open,Volume
1988-10-05,8.820825576782227,15.125,15.25,15.0,15.125,11500
1988-10-06,8.893725395202637,15.25,15.375,15.25,15.25,12700
1988-10-07,9.185323715209961,15.75,15.75,15.25,15.25,12000
1988-10-10,9.185323715209961,15.75,15.75,15.5,15.5,34600
1988-10-11,8.893725395202637,15.25,15.625,15.125,15.625,147000
1988-10-12,8.675030708312988,14.875,15.125,14.875,15.125,368200
1988-10-13,9.039523124694824,15.5,15.625,15.25,15.25,246100
1988-10-14,9.258223533630371,15.875,16.125,15.625,15.625,65400
1988-10-17,9.622719764709473,16.5,16.625,16.25,16.25,59600
1988-10-18,9.622719764709473,16.5,16.625,16.375,16.625,13900
1988-10-19,9.549821853637695,16.375,16.875,16.0,16.625,253600
1988-10-20,10.133012771606445,17.375,17.375,16.875,16.875,158200
1988-10-21,10.205916404724121,17.5,17.875,16.75,17.125,241400
1988-10-24,10.205916404724121,17.5,17.875,17.5,17.875,75600
1988-10-25,10.133012771606445,17.375,17.5,17.25,17.25,70600
1988-10-26,10.205916404724121,17.5,17.5,17.375,17.375,16300
1988-10-27,10.060115814208984,17.25,17.375,17.125,17.375,125600
1988-10-28,10.205916404724121,17.5,17.625,17.25,17.25,23700
1988-10-31,10.278818130493164,17.625,17.625,17.625,17.625,900
1988-11-01,9.841418266296387,16.875,17.375,16.75,17.375,192800
1988-11-02,9.91431713104248,17.0,17.0,16.75,16.75,98500
1988-11-03,9.768521308898926,16.75,16.875,16.75,16.875,124800
1988-11-04,9.768521308898926,16.75,16.75,16.625,16.75,5400
1988-11-07,9.622719764709473,16.5,16.5,16.375,16.5,69900
1988-11-08,9.622719764709473,16.5,16.625,16.5,16.5,42000
1988-11-09,9.331122398376465,16.0,16.375,16.0,16.375,43200
1988-11-10,9.476923942565918,16.25,16.5,16.25,16.25,32300
1988-11-11,9.404023170471191,16.125,16.125,16.0,16.125,4900
1988-11-14,9.185323715209961,15.75,16.0,15.625,16.0,29100
1988-11-15,9.185323715209961,15.75,15.75,15.75,15.75,12000
1988-11-16,9.987215995788574,17.125,17.125,15.875,15.875,593400
1988-11-17,10.060115814208984,17.25,17.375,17.125,17.25,51900
1988-11-18,9.91431713104248,17.0,17.0,16.75,17.0,24300
1988-11-21,9.695624351501465,16.625,16.75,16.375,16.75,11000
1988-11-22,10.133012771606445,17.375,17.5,16.5,16.5,58400
1988-11-23,10.133012771606445,17.375,17.5,17.25,17.375,58600
1988-11-25,9.841418266296387,16.875,16.875,16.625,16.75,20700
1988-11-28,9.768521308898926,16.75,16.75,16.75,16.75,1000
1988-11-29,9.768521308898926,16.75,16.875,16.75,16.75,27600
1988-11-30,9.841418266296387,16.875,17.125,16.875,16.875,15700
1988-12-01,9.841418266296387,16.875,16.875,16.75,16.875,8500
1988-12-02,9.768521308898926,16.75,16.875,16.375,16.375,19200
1988-12-05,9.768521308898926,16.75,16.75,16.625,16.75,6800
1988-12-06,9.476923942565918,16.25,16.75,15.75,16.625,62100
