Date,Adj Close,Close,High,Low,Open,Volume
1992-02-05,4.471432685852051,8.625,9.125,8.25,9.125,11325800
1992-02-06,4.374227523803711,8.4375,8.625,8.375,8.625,5696400
1992-02-07,4.050209999084473,7.8125,8.4375,7.8125,8.4375,1698000
1992-02-10,3.9206042289733887,7.5625,7.875,7.5,7.875,1104400
1992-02-11,3.985405921936035,7.6875,7.6875,7.5625,7.5625,656200
1992-02-12,4.11501407623291,7.9375,8.0,7.625,7.6875,629600
1992-02-13,4.147415637969971,8.0,8.1875,7.9375,8.0,808200
1992-02-14,4.050209999084473,7.8125,8.0,7.8125,8.0,418000
1992-02-18,4.050209999084473,7.8125,7.875,7.75,7.875,687200
1992-02-19,4.147415637969971,8.0,8.0,7.8125,7.8125,638000
1992-02-20,4.050209999084473,7.8125,8.0,7.8125,8.0,139000
1992-02-21,4.11501407623291,7.9375,7.9375,7.875,7.9375,410600
1992-02-24,4.11501407623291,7.9375,8.0,7.875,7.9375,353800
1992-02-25,3.985405921936035,7.6875,7.9375,7.625,7.9375,590400
1992-02-26,3.9530038833618164,7.625,7.8125,7.5625,7.75,155200
1992-02-27,3.985405921936035,7.6875,7.875,7.625,7.625,438000
1992-02-28,4.017807960510254,7.75,7.875,7.75,7.875,266600
1992-03-02,4.050209999084473,7.8125,7.9375,7.625,7.625,83800
1992-03-03,4.08261251449585,7.875,7.875,7.75,7.75,177400
1992-03-04,4.017807960510254,7.75,7.875,7.75,7.875,247800
1992-03-05,3.985405921936035,7.6875,7.875,7.6875,7.8125,131200
1992-03-06,4.050209999084473,7.8125,7.8125,7.6875,7.6875,453400
1992-03-09,4.050209999084473,7.8125,7.8125,7.75,7.75,114000
1992-03-10,4.017807960510254,7.75,7.8125,7.75,7.75,57800
1992-03-11,3.985405921936035,7.6875,7.8125,7.6875,7.75,104200
1992-03-12,3.985405921936035,7.6875,7.75,7.6875,7.75,70800
1992-03-13,3.985405921936035,7.6875,7.75,7.6875,7.6875,124800
1992-03-16,4.017807960510254,7.75,7.75,7.625,7.75,34600
1992-03-17,3.985405921936035,7.6875,7.75,7.6875,7.6875,206200
1992-03-18,3.985405921936035,7.6875,7.6875,7.5625,7.6875,53000
